"Journal Data Filtered By:  Selected JCR Year: 2016 Selected Editions: SCIE,SSCI Selected Categories: 'PATHOLOGY' Selected Category Scheme: WoS",,,,,,,,,,,,,,,,
Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
22,JOURNAL OF CLINICAL PATHOLOGY,J CLIN PATHOL,0021-9746,"10,791",2.687,2.614,2.755,0.874,167,>10.0,7.7,0.010530,0.804,86.830,72.785,1.20605
23,ADVANCES IN ANATOMIC PATHOLOGY,ADV ANAT PATHOL,1072-4109,"1,403",2.570,2.418,2.822,0.677,31,6.9,6.0,0.002510,0.862,6.450,71.519,0.28778
24,CYTOMETRY PART B-CLINICAL CYTOMETRY,CYTOM PART B-CLIN CY,1552-4949,"1,283",2.474,1.959,2.199,1.033,60,6.2,6.7,0.001900,0.527,78.330,69.293,0.21864
25,EXPERIMENTAL AND MOLECULAR PATHOLOGY,EXP MOL PATHOL,0014-4800,"3,355",2.423,2.335,2.398,0.441,118,6.0,7.9,0.005340,0.551,93.220,68.987,0.61307
26,AMERICAN JOURNAL OF CLINICAL PATHOLOGY,AM J CLIN PATHOL,0002-9173,"11,259",2.400,2.261,2.778,0.283,187,>10.0,7.2,0.012070,0.834,90.370,67.722,1.38330
27,ALZHEIMER DISEASE & ASSOCIATED DISORDERS,ALZ DIS ASSOC DIS,0893-0341,"2,901",2.395,2.368,2.816,0.569,58,9.2,8.4,0.003610,0.891,96.550,57.841,0.41527
28,CYTOPATHOLOGY,CYTOPATHOLOGY,0956-5507,"1,112",2.380,2.087,1.930,0.516,62,6.4,8.5,0.001650,0.447,93.550,48.253,0.18834
29,SEMINARS IN DIAGNOSTIC PATHOLOGY,SEMIN DIAGN PATHOL,0740-2570,"1,149",2.366,2.329,2.386,0.047,43,>10.0,>10.0,0.001930,0.807,95.350,61.129,0.22015
30,CARDIOVASCULAR PATHOLOGY,CARDIOVASC PATHOL,1054-8807,"1,871",2.359,2.109,2.527,0.74,77,6.5,8.4,0.003620,0.794,92.210,56.924,0.41559
31,DISEASE MARKERS,DIS MARKERS,0278-0240,"2,585",2.348,2.314,2.407,0.212,156,3.8,6.9,0.005850,0.575,77.560,51.755,0.67078
32,INTERNATIONAL JOURNAL OF IMMUNOPATHOLOGY AND PHARMACOLOGY,INT J IMMUNOPATH PH,0394-6320,"1,742",2.347,2.288,1.561,0.394,94,5.9,9.3,0.002980,0.375,92.550,46.676,0.34223
33,TOXICOLOGIC PATHOLOGY,TOXICOL PATHOL,0192-6233,"5,236",2.147,1.812,2.438,0.386,101,9.5,9.1,0.004480,0.613,89.110,50.354,0.51520
34,JOURNAL OF ORAL PATHOLOGY & MEDICINE,J ORAL PATHOL MED,0904-2512,"4,372",2.043,1.874,2.166,0.383,115,9.6,7.8,0.003890,0.471,89.570,64.631,0.44666
35,Diagnostic Pathology,DIAGN PATHOL,1746-1596,"2,427",2.025,1.923,2.048,0.269,108,3.6,6.5,0.006610,0.469,94.440,56.329,0.75869
35,HISTOLOGY AND HISTOPATHOLOGY,HISTOL HISTOPATHOL,0213-3911,"4,340",2.025,1.982,1.912,0.746,126,8.1,8.8,0.005230,0.485,65.870,40.138,0.60092
37,VETERINARY PATHOLOGY,VET PATHOL,0300-9858,"5,078",1.996,1.760,2.286,0.865,126,>10.0,9.4,0.006590,0.725,76.190,72.303,0.75622
38,SCIENCE & JUSTICE,SCI JUSTICE,1355-0306,924,1.992,1.715,1.882,0.484,62,5.3,8.9,0.002100,0.576,90.320,64.599,0.24180
39,EXPERIMENTAL AND TOXICOLOGIC PATHOLOGY,EXP TOXICOL PATHOL,0940-2993,"2,251",1.975,1.885,2.245,0.348,66,6.0,9.6,0.003380,0.476,96.970,43.296,0.38825
40,ENDOCRINE PATHOLOGY,ENDOCR PATHOL,1046-3976,976,1.936,1.864,1.782,0.341,44,7.6,8.0,0.001370,0.432,88.640,37.500,0.15696
41,Forensic Science Medicine and Pathology,FORENSIC SCI MED PAT,1547-769X,777,1.842,1.654,1.726,0.708,48,4.3,9.6,0.002230,0.530,91.670,56.034,0.25580
42,PATHOLOGIE BIOLOGIE,PATHOL BIOL,0369-8114,"1,211",1.802,1.802,1.436,Not Available,0,7.5,Not Available,0.001560,0.385,Not Available,47.468,0.17959
43,APMIS,APMIS,0903-4641,"3,456",1.795,1.738,1.775,0.423,130,9.2,7.8,0.004570,0.493,84.620,32.980,0.52471
44,NEUROPATHOLOGY,NEUROPATHOLOGY,0919-6544,"1,547",1.784,1.736,1.647,0.423,71,6.8,9.9,0.002900,0.508,92.960,32.603,0.33310
45,INTERNATIONAL JOURNAL OF EXPERIMENTAL PATHOLOGY,INT J EXP PATHOL,0959-9673,"1,779",1.780,1.769,2.175,0.214,42,8.6,9.3,0.001890,0.563,95.240,43.671,0.21662
46,PATHOLOGY & ONCOLOGY RESEARCH,PATHOL ONCOL RES,1219-4956,"1,884",1.736,1.726,1.747,0.633,109,4.7,7.5,0.003750,0.396,94.500,32.147,0.43104
47,Annals of Diagnostic Pathology,ANN DIAGN PATHOL,1092-9134,"1,406",1.734,1.685,1.447,0.151,73,7.1,8.9,0.002520,0.404,83.560,41.139,0.28961
48,International Journal of Clinical and Experimental Pathology,INT J CLIN EXP PATHO,1936-2625,"7,021",1.706,1.581,1.779,0.023,"1,624",2.3,6.4,0.018920,0.358,95.010,30.421,2.16636
49,PATHOBIOLOGY,PATHOBIOLOGY,1015-2008,912,1.703,1.672,1.800,0.585,41,8.0,6.6,0.001150,0.458,78.050,28.646,0.13245
50,APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY,APPL IMMUNOHISTO M M,1541-2016,"1,605",1.634,1.551,1.547,0.598,112,6.0,8.6,0.003040,0.447,95.540,44.431,0.34796
51,TISSUE ANTIGENS,TISSUE ANTIGENS,0001-2815,"3,455",1.596,1.596,1.680,Not Available,0,9.3,Not Available,0.003860,0.464,Not Available,21.992,0.44278
52,CytoJournal,CYTOJOURNAL,0974-5963,290,1.577,1.500,1.372,0.167,24,5.5,>10.0,0.000560,0.345,91.670,34.810,0.06451
53,PATHOLOGY RESEARCH AND PRACTICE,PATHOL RES PRACT,0344-0338,"2,994",1.543,1.504,1.549,0.243,189,7.4,7.6,0.004030,0.362,89.950,33.544,0.46131
54,Brain Tumor Pathology,BRAIN TUMOR PATHOL,1433-7398,572,1.536,1.310,1.519,0.625,32,5.4,6.6,0.001100,0.361,81.250,23.913,0.12580
55,CLINICAL NEUROPATHOLOGY,CLIN NEUROPATHOL,0722-5091,887,1.532,1.494,1.358,0.179,28,9.9,8.9,0.001210,0.417,85.710,27.491,0.13852
56,INTERNATIONAL JOURNAL OF GYNECOLOGICAL PATHOLOGY,INT J GYNECOL PATHOL,0277-1691,"2,436",1.512,1.349,1.703,0.558,77,9.0,9.2,0.002940,0.494,88.310,28.311,0.33797
57,PATHOLOGY INTERNATIONAL,PATHOL INT,1320-5463,"2,829",1.465,1.413,1.758,0.395,81,8.9,7.4,0.003180,0.482,71.600,28.481,0.36512
58,JOURNAL OF CUTANEOUS PATHOLOGY,J CUTAN PATHOL,0303-6987,"3,430",1.317,1.120,1.401,0.238,168,8.5,8.6,0.004060,0.398,91.070,30.671,0.46597
59,JOURNAL OF COMPARATIVE PATHOLOGY,J COMP PATHOL,0021-9975,"2,814",1.214,1.122,1.259,0.136,81,>10.0,>10.0,0.002990,0.393,96.300,46.982,0.34302
60,Medical Molecular Morphology,MED MOL MORPHOL,1860-1480,441,1.210,1.145,1.281,0.312,32,5.9,8.6,0.000830,0.344,84.380,24.684,0.09409
61,Journal of Toxicologic Pathology,J TOXICOL PATHOL,0914-9198,323,1.185,1.092,1.067,0.07,43,4.5,>10.0,0.000730,0.260,88.370,14.698,0.08366
62,DIAGNOSTIC CYTOPATHOLOGY,DIAGN CYTOPATHOL,8755-1039,"2,933",1.161,0.961,1.171,0.191,173,8.4,7.9,0.003130,0.244,86.130,23.576,0.35936
63,FOLIA NEUROPATHOLOGICA,FOLIA NEUROPATHOL,1641-4640,611,1.093,0.907,1.390,0.049,41,6.2,8.5,0.000830,0.270,80.490,15.559,0.09498
64,PEDIATRIC AND DEVELOPMENTAL PATHOLOGY,PEDIATR DEVEL PATHOL,1093-5266,"1,284",1.089,0.970,1.044,0.322,59,9.4,>10.0,0.001730,0.331,91.530,22.000,0.19846
65,Analytical Cellular Pathology,ANAL CELL PATHOL,2210-7177,333,1.078,1.078,1.179,0.2,20,5.9,6.2,0.000570,0.281,85.000,11.240,0.06507
66,International Journal of Paleopathology,INT J PALEOPATHOL,1879-9817,187,1.051,0.620,1.006,0.143,49,3.1,>10.0,0.000730,0.284,97.960,23.822,0.08354
67,POLISH JOURNAL OF PATHOLOGY,POL J PATHOL,1233-9687,415,0.990,0.921,0.988,0.088,57,4.7,8.0,0.000700,0.189,85.960,15.823,0.07996
68,LEPROSY REVIEW,LEPROSY REV,0305-7518,867,0.845,0.548,1.061,0.119,42,>10.0,8.7,0.000650,0.229,95.240,13.479,0.07466
69,INTERNATIONAL JOURNAL OF SURGICAL PATHOLOGY,INT J SURG PATHOL,1066-8969,"1,144",0.830,0.799,0.912,0.252,115,6.4,9.2,0.001910,0.238,84.350,15.148,0.21919
70,ULTRASTRUCTURAL PATHOLOGY,ULTRASTRUCT PATHOL,0191-3123,840,0.694,0.583,0.831,0.231,52,>10.0,9.4,0.000810,0.210,88.460,13.513,0.09263
71,AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY,AM J FOREN MED PATH,0195-7910,"1,553",0.648,0.620,0.793,0.106,66,>10.0,>10.0,0.001570,0.253,89.390,13.713,0.18003
72,Malaysian Journal of Pathology,MALAYS J PATHOL,0126-8635,237,0.640,0.613,Not Available,0.049,41,6.6,8.7,0.000340,Not Available,90.240,9.494,0.03914
73,Indian Journal of Pathology and Microbiology,INDIAN J PATHOL MICR,0377-4929,"1,169",0.616,0.604,0.748,0.099,121,6.7,>10.0,0.001470,0.161,87.600,8.228,0.16783
74,Fetal and Pediatric Pathology,FETAL PEDIATR PATHOL,1551-3815,270,0.613,0.585,0.562,0.07,57,5.0,>10.0,0.000730,0.171,94.740,6.580,0.08382
75,ANNALES DE PATHOLOGIE,ANN PATHOL,0242-6498,362,0.558,0.512,0.554,0.233,43,8.1,5.4,0.000430,0.120,69.770,5.696,0.04942
76,PATHOLOGE,PATHOLOGE,0172-8113,594,0.509,0.362,0.424,0.237,76,8.9,6.6,0.000460,0.078,98.680,4.430,0.05239
77,Journal of Hematopathology,J HEMATOP,1868-9256,87,0.277,0.191,Not Available,0.304,23,Not Available,7.5,0.000150,Not Available,82.610,2.654,0.01775
78,Medecine Nucleaire-Imagerie Fonctionnelle et Metabolique,MED NUCL,0928-1258,74,0.109,0.055,0.078,0.048,42,Not Available,6.5,0.000050,0.009,73.810,1.899,0.00555
79,HLA,HLA,2059-2302,208,Not Available,0.000,Not Available,3.885,52,0.5,6.3,0.000000,Not Available,78.850,0.409,0.00000
Copyright © 2017 Clarivate Analytics,,,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,,,
